,data,target
0,turki mah gitu presiden nya di hina ama presiden lebanon begitu kena musibah eh turki duluan yg kirim bantu,h
1,maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden,h
2,pagi2 dah bahas politik ae nih bro asal lu tau nanti kh ma ruf amin bakal mundur dari wakil presiden naaah ntar prabowo yg gantiin,h
3,gadai ngga punya akun lelang bisa langsung ke layan cabang kalo mau cek lelang,f
4,temenku ada yg pernah beli di akun lelang gadai kayak gin beli codan gitu tapi luar kantor soal ga boleh transaksi di dalam kata,h
5,kawan yang kuliah di stan memang papar radikalisme seperti itu gamblang,h
6,iyaaa gua di awal suruh ke pkn stan kan tapi tutup daftar 4 tahun trs gua pen nyari poltek2 duluuuu gua gatau minat bakat gua anjir,h
7,pkn stan tutup lama 4 tahun sampe 2024 awal ga percaya sampe akhir tadi denger langsung dari adek2 mahasiswa stan dan googling nyata iya moga jangan,h
8,gara2 isu radikalisne di kampus stan maka lama 4 tahun depan kampus itu di tutup dan tidak terima mahasiswa baru rupa sekarang mahasiswa yg rajin shalat dan aji di masjid anggap perintah bagai embrio radikalisme sehingga bahaya aman negara,h
9,kata iya kemaren juga ada yg bilang dia ini punya tante orang dalam kata tante juga stan tutup 4 tahun udah deal udah capek nang mikirin ini,h
10,pernah baca di tl kalo tahun ini stam ga buka itu karna pandem kalo yg 4 5 thn itu moratorium lulus bukan daftar stan nya cmiiw,f
11,bahwa indra sjafri jadi latih baru juventus itu memang tidak benar yang benar adalah dia head coach baru juventus,h
12,indra sjafri telah sempat ikut seret masuk bursa calon ganti maurizio sarri indonesia lebih besar banding juventus sjafriball,f
13,pabrik petas yg ledak di lebanon pernah masuk di serial the simpson dan benar ledak di tahun corona,h
14,ledak pabrik kembang api di labuh beirut lebanon sudah pernah prediksi oleh the simpson https co bm1pegljba,h
15,hampir sama di the simpson dan di lebanon simpsons mesin waktu,h
16,informasi kena the simpsons prediksi ledak beirut lebanon adalah salah alias hoax,f
17,ledak di film the simpson mirip banget dgn yang di lebanon dear arang film the simpson tolong buat film virus corona hilang dari muka bumi ini sapa tau ilang beneran,h
18,yang nyebarin edit kartun the simpsons sama ledak di lebanon tolong di stop dong jangan nyebarin video yang ga sesuai fakta btw ini yang asli nya,f
19,edar peta dki jakarta hitam akibat covid 19 bin itu hoaks,f
20,hati dg bagi masker gratis oleh org yg tak kenal utama di tmpat sepi krna tak jarang terjdi tindak jahat masker yg beri telah beri obat bius lebih dahulu oleh laku yg bs buat korban tak sadar diri,h
21,ati2 sekarang ada modus ngasi masker gratis tapi kasi obat bius biar pingsan trus rampok,h
22,si ibu kasi masker gratis masker kasi obat bius dan hipnotis motor bawa kabur hati2 indo mart wrg silah,h
23,hari ini orang ibu yg naik sepeda motor beri masker gratis oleh orang di jl harap raya pekan baru telah masker pakai oleh ibu itu lalu ia tak sadar diri masker sudah beri obat bius dan sepeda motor bawa orang itu,h
24,hati hati dan tetap waspada modus beri masker gratis yg sdh beri obat bius tetap waspada dan jangan lengah jahat selalu intai kita,h
25,modus baru jahat laku bagiin masker gratis dan langsung suruh pake nyata masker udah kasih obat bius saat korban tidur laku langsung rampok harta korban modus mirip sih kayak bagiin minum ke tumpang di terminal stasiun saat musim mudik hati2 ya,h
26,tolong lah ini hipnotis bukan masker di ksh bius nanti malah jadi pada parno buat yg di ksh masker gratis nyebarin berita boleh tp jgn nyebarin hoax,f
27,oh ayolahh sekira blm bukti jgn giring opini coba search di google byk portal2 berita ttg cek fakta apakah masker gratis dapat obat bius banyak berita mengkonfimasi itu hoax jg itu berita 5 6hr yg lalu dan anda blm 24jam oh mungkin anda lupa buka browser,f
28,imam ahmad bin hanbal kata milik ilmu filsafat tidak akan untung lama para ulama filsafat adalah para zindiq talbiis ibliis 1 75,h
29,rg rada gila kok di dengerin haram imam syafii kata ilmu filsafat itu haram yang ajar rg dan rg sendiri kafir koplakklop,h
30,hukum ajar ilmu filsafat adalah boleh dan tidak haram dengan catat orang yang ajar sudah milik tahu luas tentang dasar dasar ilmu agama sehingga akidah dan iman tidak goyah,f
31,orang tua sebar hoaks,f
